Gilbert L Sena Charter High School,69 Hotel Circle Northeast 87123,Albuquerque,159
Logan Elementary School,301 2nd Street 88426,Logan,121
Logan Middle School,301 2nd Street 88426,Logan,66
Logan High School,301 2nd Street 88426,Logan,133
Alma D'arte Charter School,402 West Court Avenue 88005,Las Cruces,180
Baca-Dlo'Ay Azhi Community School,1406 State Highway 122 87045,Prewitt,352
Bread Springs Day School,P.O. Box 1117 87305,Gallup,108
La Tierra Montessori School,659 Roadrunner Drive 87532,Española,100
Cottonwood Classical Prep,7801 Jefferson Street Northeast 87109,Albuquerque,734
House High School,309 North Apple Street 88121,House,30
House Elementary School,309 North Apple Street 88121,House,27
House Junior High School,309 North Apple Street 88121,House,20
Loving Elementary School,601 South 6th Street 88256,Loving,250
Loving High School,602 South 6th Street 88256,Loving,166
Loving Middle School,600 South 6th Street 88256,Loving,132
Mariano Lake Community School,P.O. Box 787 87313,Crownpoint,195
Texico High School,520 North Griffin Street 88135,Texico,173
Texico Middle School,520 North Griffin Street 88135,Texico,125
Texico Elementary School,520 North Griffin Street 88135,Texico,262
Anton Chico Middle School,1089 New Mexico 386 87711,Anton Chico,37
Santa Rosa High School,717 South 3rd Street 88435,Santa Rosa,190
Rita A. Marquez Elementary School,Main St 87711,Anton Chico,75
Santa Rosa Elementary School,658 South 5th Street 88435,Santa Rosa,246
Santa Rosa Middle School,244 South 4th Street 88435,Santa Rosa,112
The Master Program,6401 Richards Avenue 87508,Santa Fe,199
South Mountain Elementary School,577 State Road 344 87015,Edgewood,319
Edgewood Middle School,17 Venus Road West 87015,Edgewood,346
Moriarty High School,200 Center Avenue 87035,Moriarty,722
Route 66 Elementary School,805 Barton Road 87059,Tijeras,355
Moriarty Elementary School,2015 School Loop 87035,Moriarty,415
Moriarty Middle School,200 Center Avenue 87035,Moriarty,277
Roselawn Elementary School,600 North Roselawn Avenue 88210,Artesia,193
Yeso Elementary School,1812 West Centre Avenue 88210,Artesia,531
Artesia High School,1006 West Richardson Avenue 88210,Artesia,807
Artesia Zia Intermediate School,1100 West Bullock Avenue 88210,Artesia,588
Central Elementary School,405 South 6th Street 88210,Artesia,150
Hermosa Elementary School,601 West Hermosa Drive 88210,Artesia,314
Artesia Park Junior High School,15th And Cannon 88210,Artesia,563
Yucca Elementary School,900 North 13th Street 88210,Artesia,327
Penasco Elementary School,12 Dunkin Road 88250,Hope,16
Grand Hts.Early Child,2302 West Grand Avenue 88210,Artesia,334
Ace Leadership High School,800 20th Street Northwest 87104,Albuquerque,316
Dulce High School,Hawk Dr 87528,Dulce,198
Dulce Elementary School,Hawk Dr 87528,Dulce,327
Na' Neelzhiin Ji'Olta,Hcr 79 Box 9 87013,Cuba,164
Capitan Elementary School,150 South Forest Avenue 88316,Capitan,209
Capitan High School,150 South Forest Avenue 88316,Capitan,159
Capitan Middle School,150 South Forest Avenue 88316,Capitan,135
Monte Del Sol Charter School,4157 Walking Rain Road 87507,Santa Fe,327
Tse'ii'ahi' Community School,Navajo Route 9 87313,Crownpoint,99
Ruidoso High School,125 Warrior Drive 88345,Ruidoso,530
Ruidoso Middle School,123 Warrior Drive 88345,Ruidoso,467
White Mountain Elementary School,203 White Mountain Drive 88345,Ruidoso,496
Sierra Vista Primary School,199 White Mountain Drive 88345,Ruidoso,310
Nob Hill Early Childhood Center,105 South Sutton Drive 88345,Ruidoso,208
Explore Academy,5100 Masthead St NE  87109,Albuquerque,440
Abq School Of Excellence,13201 Lomas Blvd NE 87112,Albuquerque,650
Amy Biehl Charter High School,123 4th Street Southwest 87102,Albuquerque,291
Abq Sign Language Academy,620 Lomas Boulevard Northwest 87102,Albuquerque,98
Dzilth-Na-O-Dith-Hle Community School,35 Road 7585 87413,Bloomfield,215
New Mexico Connections Academy,4001 Office Court Suites 201-204 Santa Fe, NM 87507 87507,Santa Fe,1810
Pecos Middle School,Nm Hwy 63 87552,Pecos,162
Pecos High School,Nm Hwy 63 87552,Pecos,163
Pecos Elementary School,Nm Hwy 63 87552,Pecos,304
Pine Hill Schools,Po Box 280 87321,Mountain View,291
Corona Elementary School,250 Franklin Street 88318,Corona,36
Corona High School,531 Franklin Street 88318,Corona,29
Mission Achievement & Success Charter School,1718 Yale Boulevard Southeast 87106,Albuquerque,1300
Horizon Academy West,3021 Todos Santos Street 87120,Albuquerque,504
Katherine Gallegos Elementary School,236 Don Pasqual Road Northwest 87031,Los Lunas,600
Bosque Farms Elementary School,1390 West Bosque Loop 87068,Bosque Farms,576
Sundance Elementary School,3701 Sundance Street Southwest 87031,Los Lunas,600
Ann Parish Elementary School,112 Meadowlake Rd 87031,Los Lunas,433
Valencia Elementary School,111 Monica Road 87031,Los Lunas,393
Los Lunas High School,1776 Emilio Lopez Road 87031,Los Lunas,1301
Peralta Elementary School,3645 New Mexico 47 87042,Peralta,337
Desert View Elementary School,49 Camino La Canada Avenue 87031,Los Lunas,400
Tome Elementary School,46 Chacon Rd 87031,Los Lunas,462
Los Lunas Elementary School,800 Coronado Street 87031,Los Lunas,520
Raymond Gabaldon Elementary School,454 Coronado Street 87031,Los Lunas,469
Los Lunas Middle School,220 Luna Ave 87031,Los Lunas,753
Valencia Middle School,22 Marlink Boulevard 87031,Los Lunas,517
Valencia High School,301 Bonita Vista Boulevard 87031,Los Lunas,981
Century Alt High School,32 Sun Valley Road 87031,Los Lunas,144
Los Lunas Family School,17 Sun Valley Road 87031,Los Lunas,43
The GREAT Academy,6001 San Mateo Boulevard Northeast 87109,Albuquerque,151
Media Arts Collaborative Charter School,4401 Central Avenue Northeast 87108,Albuquerque,247
Lincoln Pines,115 Black Jack Pershing 88323,Fort Stanton,13
Camino Nuevo Youth,4050 Edith Blvd Ne 87107,Albuquerque,33
Pablo Roybal Elementary School,1574 State Rd 502 87506,Santa Fe,555
Pojoaque Middle School,1574 New Mexico 502 87506,Santa Fe,332
Sixth Grade Academy,1574 State Rd 502 87506,Pojoaque,165
Pojoaque High School,1574 New Mexico 502 87506,Santa Fe,673
Pojoaque Intermediate School,1574 New Mexico 502 87506,Santa Fe,301
San Jon Elementary School,7th And Elm Streets 88434,San Jon,83
San Jon High School,7th And Elm Streets 88434,San Jon,35
San Jon Middle School,7th And Elm Streets 88434,San Jon,34
Bluewater Elementary School,15 West Chess Road 87005,Cibola County,96
San Rafael Elementary School,Loma Linda St 87051,San Rafael,73
Milan Elementary School,404 Sand Street 87021,Milan,462
Seboyeta Elementary School,Hgy 53 Bia Rd 132 87055,Seboyeta,51
Cubero Elementary School,I40 And Exit 104 87014,Cubero,276
Laguna-Acoma High School,Hwy 66 87007,Casa Blanca,218
Mesa View Elementary School,400 Washington Avenue 87020,Grants,471
Grants High School,500 Mountain Road 87020,Grants,819
Los Alamitos Middle School,1100 Mt Taylor Ave 87020,Grants,437
Mount Taylor Elementary School,1607 Del Norte Boulevard 87020,Grants,550
Laguna-Acoma Middle School,Hwy 66 87007,Casa Blanca,51
Childrens Psychiatry,1001 Yale Ne 87131,Albuquerque,27
Turquoise Trail Charter Elementary School,13 San Marcos Loop 87508,Santa Fe,495
